,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
18996,5.89e+17,within an hour,1.0,0.6,False,0,True,True,CuauhtÃ©moc,19.41613,-99.14376,Shared room,1,1.0,1.0,1.0,250.0,1,1125,282,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.9
19003,5.91e+17,within an hour,1.0,0.95,True,0,True,True,Miguel Hidalgo,19.44534,-99.20399,Shared room,1,1.5,1.0,1.0,205.0,1,15,361,7,7,5.0,4.71,4.86,4.86,5.0,4.86,4.86,True,7,2.59
19010,5.91e+17,within an hour,1.0,0.95,True,0,True,True,Miguel Hidalgo,19.446308,-99.203026,Shared room,1,1.5,1.0,1.0,205.0,1,15,361,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,7,0.0
19011,5.91e+17,within an hour,1.0,0.95,True,0,True,True,Miguel Hidalgo,19.446308,-99.203026,Shared room,1,1.5,1.0,1.0,205.0,1,15,362,1,1,4.0,5.0,5.0,5.0,5.0,5.0,5.0,True,7,0.37
19115,5.93e+17,within a few hours,1.0,1.0,False,0,True,True,CoyoacÃ¡n,19.31964,-99.16557,Shared room,2,1.0,1.0,2.0,320.0,1,365,365,1,1,5.0,5.0,4.0,5.0,5.0,4.0,5.0,True,2,1.0
19197,5.93e+17,within an hour,1.0,0.85,False,2,True,False,Benito JuÃ¡rez,19.38027,-99.18659,Shared room,1,0.0,1.0,2.0,204.0,1,365,355,2,2,5.0,4.5,5.0,5.0,4.5,5.0,5.0,False,10,1.87
19251,5.99e+17,within a few hours,0.8,0.55,False,0,True,True,CuauhtÃ©moc,19.43514,-99.13298,Shared room,3,1.0,1.0,3.0,229.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,7,0.0
19295,5.98e+17,within an hour,1.0,0.94,False,1,True,True,Tlalpan,19.28972,-99.16602,Shared room,2,1.0,1.0,1.0,500.0,1,365,365,2,2,5.0,4.5,4.5,5.0,5.0,5.0,5.0,False,5,0.8
19296,5.98e+17,within an hour,1.0,0.94,False,1,True,True,Tlalpan,19.29193,-99.16549,Shared room,2,1.0,1.0,1.0,500.0,1,365,365,2,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,False,5,0.8
19337,5.98e+17,unknown,0.0,0.0,False,0,True,True,CuauhtÃ©moc,19.41562,-99.16602,Shared room,1,1.0,1.0,1.0,14135.0,30,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19352,6e+17,within an hour,1.0,0.85,False,2,True,False,Benito JuÃ¡rez,19.37972,-99.18828,Shared room,1,0.0,1.0,1.0,250.0,2,365,331,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,10,0.0
19472,6.04e+17,unknown,0.0,0.0,False,0,False,False,CoyoacÃ¡n,19.35040627,-99.17346918,Shared room,4,1.5,1.0,2.0,1040.0,1,365,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19477,6.04e+17,within an hour,1.0,0.96,True,23,True,True,CuauhtÃ©moc,19.4148,-99.15896,Shared room,1,4.0,1.0,4.0,600.0,1,365,362,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,13,0.0
19480,6.04e+17,within an hour,1.0,0.96,True,23,True,True,CuauhtÃ©moc,19.41475,-99.15893,Shared room,1,4.0,1.0,4.0,600.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,13,0.0
19615,5.99e+17,within a few hours,0.8,0.55,False,0,True,True,CuauhtÃ©moc,19.43442,-99.13353,Shared room,4,1.0,1.0,4.0,229.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,7,0.0
19851,6.18e+17,unknown,0.0,0.0,False,4,True,False,CuauhtÃ©moc,19.42613,-99.14969,Shared room,1,1.0,1.0,1.0,199.0,1,365,365,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,2.0
19852,6.18e+17,unknown,0.0,0.0,False,4,True,False,CuauhtÃ©moc,19.427097,-99.150787,Shared room,1,2.0,1.0,1.0,199.0,1,365,364,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,3.0
19969,6.21e+17,within an hour,1.0,0.0,False,0,True,True,CuauhtÃ©moc,19.43394,-99.14656,Shared room,2,2.0,1.0,3.0,737.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
20158,6.24e+17,unknown,0.0,0.0,False,0,True,False,Benito JuÃ¡rez,19.39861,-99.15458,Shared room,3,1.0,1.0,2.0,560.0,3,8,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
20221,6.28e+17,within a day,1.0,1.0,False,0,True,False,Benito JuÃ¡rez,19.37015,-99.14176,Shared room,1,1.5,1.0,1.0,239.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,2,0.0
20274,6.28e+17,within an hour,1.0,0.75,False,1,True,False,Gustavo A. Madero,19.56018,-99.1412,Shared room,3,1.5,1.0,1.0,202.0,1,13,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,2,0.0
20307,6.29e+17,within a day,1.0,0.0,False,0,True,False,CuauhtÃ©moc,19.437611,-99.138817,Shared room,2,1.5,1.0,1.0,300.0,1,365,86,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
20484,6.34e+17,within an hour,1.0,1.0,False,20,True,True,CuauhtÃ©moc,19.42934,-99.13528,Shared room,1,1.0,1.0,1.0,409.0,1,365,358,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,20,0.0
20559,6.37e+17,within an hour,1.0,0.0,False,1,True,True,CuauhtÃ©moc,19.42127,-99.16763,Shared room,1,1.0,1.0,1.0,420.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
20723,6.41e+17,within an hour,1.0,1.0,False,4,True,True,CuauhtÃ©moc,19.44318,-99.14007,Shared room,4,3.0,1.0,2.0,160.0,1,365,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,10,0.0
20844,6.46e+17,within an hour,1.0,0.85,False,2,True,False,Benito JuÃ¡rez,19.37923,-99.18745,Shared room,1,0.0,1.0,2.0,204.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,10,0.0
20985,6.51e+17,a few days or more,0.3,0.0,False,11,True,False,Miguel Hidalgo,19.4345075,-99.1877204,Shared room,1,1.0,1.0,1.0,1050.0,15,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,5,0.0
21042,6.5e+17,unknown,0.0,0.0,False,0,True,False,Benito JuÃ¡rez,19.36966,-99.14541,Shared room,2,1.0,1.0,2.0,360.0,1,365,90,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21108,6.53e+17,within an hour,1.0,0.99,False,25,True,True,CuauhtÃ©moc,19.4050401,-99.1746515,Shared room,4,2.5,1.0,6.0,163.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,17,0.0
21109,6.53e+17,within an hour,1.0,0.99,False,25,True,True,CuauhtÃ©moc,19.40612919,-99.17418099,Shared room,3,2.5,1.0,6.0,163.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,17,0.0
21110,6.53e+17,within an hour,1.0,0.99,False,25,True,True,CuauhtÃ©moc,19.40601645,-99.17375807,Shared room,3,2.5,1.0,6.0,163.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,17,0.0
21202,28579212.0,within an hour,0.89,0.67,False,5,True,True,Azcapotzalco,19.52735,-99.22138,Shared room,2,1.0,1.0,2.0,432.0,2,7,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,5,0.0
21222,38550500.0,within a few hours,1.0,0.0,False,2,True,False,Miguel Hidalgo,19.4298,-99.24067,Shared room,2,1.0,1.0,1.0,212.0,1,1125,365,2,0,3.0,2.5,2.0,4.0,3.5,3.5,2.5,True,2,0.06
21223,10758017.0,within an hour,1.0,1.0,False,0,True,True,Iztacalco,19.41322,-99.0552,Shared room,16,6.0,1.0,39.0,250.0,1,365,365,11,4,4.36,4.45,4.82,4.3,4.64,4.1,4.4,True,1,0.19
21229,35031668.0,within a few hours,1.0,0.0,False,2,True,False,Miguel Hidalgo,19.42935,-99.24976,Shared room,1,1.0,1.0,1.0,212.0,1,1125,365,1,0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,True,2,0.03
21247,52622906.0,within an hour,1.0,1.0,True,0,True,True,Azcapotzalco,19.52679,-99.19454,Shared room,1,1.0,1.0,1.0,329.0,1,1125,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.13
