,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
7967,35967394.0,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.43333,-99.13457,Hotel room,2,1.0,1.0,1.0,3570.0,1,1125,328,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,7,0.0
7989,36023273.0,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.43333,-99.13457,Hotel room,2,1.0,1.0,1.0,2970.0,1,1125,330,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,7,0.03
7990,36023768.0,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.43333,-99.13457,Hotel room,2,1.0,1.0,1.0,2300.0,1,1125,337,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,7,0.94
8173,36314967.0,unknown,0.0,1.0,False,0,True,True,CuauhtÃ©moc,19.41493,-99.16685,Hotel room,2,1.0,1.0,1.0,1745.0,1,10,89,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
8265,36841307.0,within an hour,1.0,0.98,True,10,True,True,CuauhtÃ©moc,19.43775,-99.13952,Hotel room,6,1.0,2.0,3.0,2403.0,1,28,203,4,2,4.75,5.0,4.75,5.0,5.0,5.0,5.0,True,10,0.13
8446,37635042.0,within an hour,1.0,0.99,False,6,True,True,Cuajimalpa de Morelos,19.35754,-99.27359,Hotel room,4,1.0,2.0,2.0,4111.0,1,1125,365,21,14,4.67,4.76,4.67,4.33,4.24,4.95,4.43,True,8,0.65
8457,37326050.0,within a few hours,0.83,0.82,False,7,True,True,CoyoacÃ¡n,19.3459,-99.16171,Hotel room,2,1.0,1.0,1.0,8113.0,1,101,331,39,6,4.79,4.69,4.38,4.9,4.85,4.95,4.67,True,6,1.17
8478,37686635.0,within an hour,1.0,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.34631,-99.25332,Hotel room,3,1.0,1.0,2.0,861.0,1,365,278,1,0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,True,6,0.03
8493,37687424.0,within an hour,1.0,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.34628,-99.25333,Hotel room,4,1.0,1.0,2.0,861.0,1,365,290,3,0,4.33,5.0,5.0,5.0,5.0,5.0,4.0,True,6,0.09
8499,37688057.0,within an hour,1.0,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.34645,-99.2553,Hotel room,5,1.0,1.0,3.0,913.0,1,365,278,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.07
8503,37689391.0,within an hour,1.0,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.3474,-99.25319,Hotel room,8,1.0,1.0,4.0,861.0,1,365,278,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.06
8504,37691088.0,within an hour,1.0,1.0,True,5,True,True,CoyoacÃ¡n,19.34921,-99.16183,Hotel room,2,1.0,1.0,1.0,2100.0,1,365,272,14,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.42
8574,37721233.0,within an hour,1.0,0.98,False,5,True,True,Benito JuÃ¡rez,19.40293,-99.1606,Hotel room,1,1.0,1.0,1.0,300.0,1,1125,358,58,32,4.62,4.71,4.55,4.71,4.78,4.74,4.55,True,6,1.69
9274,39049228.0,within an hour,1.0,0.99,False,6,True,True,Cuajimalpa de Morelos,19.3568,-99.27427,Hotel room,6,1.0,3.0,3.0,7464.0,1,1125,132,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,8,0.0
9305,39057761.0,within an hour,1.0,0.99,False,6,True,True,Cuajimalpa de Morelos,19.3568,-99.27427,Hotel room,4,1.0,2.0,2.0,2932.0,1,1125,361,23,21,4.87,4.83,4.91,4.87,4.78,4.96,4.61,True,8,1.04
10997,43205383.0,within an hour,1.0,1.0,False,0,True,True,CuauhtÃ©moc,19.43142,-99.15688,Hotel room,0,1.0,2.0,0.0,0.0,1,365,0,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,0.12
11056,43247503.0,unknown,0.0,1.0,False,0,True,True,Miguel Hidalgo,19.42918,-99.19296,Hotel room,0,1.0,2.0,0.0,0.0,1,365,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
11058,43247515.0,unknown,0.0,0.0,False,0,True,True,Benito JuÃ¡rez,19.39492,-99.17583,Hotel room,0,1.0,2.0,0.0,0.0,1,365,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
11062,43247525.0,within an hour,1.0,1.0,False,0,True,True,Ãlvaro ObregÃ³n,19.35086,-99.18667,Hotel room,0,1.0,2.0,0.0,0.0,1,365,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
11064,43247567.0,unknown,0.0,0.0,False,0,False,True,CuauhtÃ©moc,19.43632,-99.1464,Hotel room,0,1.0,2.0,0.0,0.0,1,365,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
11070,43247660.0,unknown,0.0,1.0,False,0,True,True,CuauhtÃ©moc,19.43313,-99.13814,Hotel room,0,1.0,2.0,0.0,0.0,1,365,0,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
