ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
28775194,within an hour,1,NaN,False ,True ,False ,1,Santiago,-33.44927,-70.63498,Private room,1,1,1,1,10000.00,1,5,36,1,0,4,5,5,5,5,5,5,False ,1,0.03
29024695,within a day,1,1,False ,True ,True ,1,Providencia,-33.43195,-70.63011,Hotel room,2,1,1,1,69117.00,15,15,164,1,0,4,3,5,1,1,5,4,True ,1,0.02
28779729,within a day,1,0.75,False ,True ,False ,1,Providencia,-33.43489,-70.62769,Entire home/apt,2,1,1,1,25000.00,6,1125,141,6,2,4.83,4.5,4.17,4.67,4.33,4.83,4.5,False ,1,0.16
29028082,a few days or more,0,0,False ,True ,False ,1,Ñuñoa,-33.46597,-70.62577,Private room,1,1,1,1,10000.00,5,61,178,0,0,,,,,,,,False ,1,
28779873,Unknown,NaN,NaN,False ,True ,True ,1,Las Condes,-33.42414,-70.58511,Private room,2,1,1,1,23000.00,4,1125,244,16,8,4.79,5,4.86,4.93,4.93,5,4.93,False ,1,0.36
28781867,within a day,0.5,1,False ,True ,False ,1,Las Condes,-33.41585,-70.56049,Private room,2,1,1,1,25000.00,3,1125,89,0,0,,,,,,,,True ,1,
28782897,within an hour,1,1,False ,True ,True ,10,Las Condes,-33.3999,-70.57401,Entire home/apt,2,1,,1,54039.00,2,100,339,21,18,4.81,4.9,4.86,4.86,4.81,4.95,4.71,True ,9,0.58
27906674,a few days or more,0,0,False ,True ,False ,1,Vitacura,-33.38211,-70.54222,Private room,2,1,1,2,24000.00,1,30,266,32,0,4.74,4.97,4.61,5,4.87,4.97,4.81,False ,1,0.69
28814086,a few days or more,0,NaN,False ,True ,False ,1,Recoleta,-33.425,-70.64654,Private room,1,1,,1,17000.00,2,29,365,0,0,,,,,,,,True ,1,
28839913,within a day,0.7,0.92,False ,True ,True ,5,Santiago,-33.44746,-70.63292,Entire home/apt,3,1,1,2,28500.00,14,365,294,41,12,4.63,4.71,4.49,4.85,4.83,4.78,4.59,True ,5,0.96
28862539,within an hour,0.9,1,True ,True ,True ,1,Las Condes,-33.40141,-70.57274,Entire home/apt,5,2,2,3,90000.00,2,1125,296,70,29,4.63,4.76,4.76,4.87,4.84,4.9,4.66,False ,1,1.68
