,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
5015,39754427.0,within an hour,1.0,0.99,True,True,True,3,Las Condes,-33.41732,-70.60237,Entire home/apt,4,1.0,1.0,2.0,58571,1.0,14.0,349,88.0,51,4.95,4.98,4.94,5.0,4.98,4.99,4.84,True,3,2.96
5016,40614868.0,within an hour,1.0,1.0,True,True,True,0,Ñuñoa,-33.45048,-70.5868,Private room,7,1.5,1.0,1.0,14571,2.0,4.0,167,7.0,0,4.71,5.0,4.71,5.0,5.0,4.86,4.71,True,3,0.23
5017,39754986.0,within a day,0.5,0.0,False,True,True,3,Providencia,-33.44699,-70.6142,Private room,1,1.0,1.0,1.0,22000,3.0,30.0,19,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,3,0.0
5018,39800091.0,Unknown,0.0,1.0,False,True,True,0,Las Condes,-33.42868,-70.57449,Private room,1,1.0,1.0,1.0,13000,90.0,30.0,0,10.0,2,5.0,5.0,5.0,5.0,5.0,5.0,4.9,True,3,0.33
5019,40298012.0,Unknown,0.0,0.0,False,True,False,0,Santiago,-33.43271,-70.67324,Private room,1,2.0,1.0,0.0,55617,1.0,4.0,90,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
5020,40302295.0,within an hour,0.67,0.98,False,True,False,6,Santiago,-33.43856,-70.64404,Entire home/apt,2,1.0,1.0,1.0,40000,1.0,30.0,334,50.0,28,4.66,4.94,4.46,4.94,4.68,4.9,4.5,True,4,1.59
5021,40322860.0,within a few hours,1.0,0.5,False,True,True,13,Las Condes,-33.41588,-70.5613,Private room,3,2.0,2.0,3.0,45000,1.0,30.0,52,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,5,0.0
5022,40615011.0,within an hour,1.0,1.0,False,True,True,2,Santiago,-33.43572,-70.64444,Entire home/apt,4,1.0,1.0,1.0,23000,3.0,30.0,29,2.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.07
5023,39820413.0,within an hour,0.97,0.82,False,True,False,13,Ñuñoa,-33.45246,-70.6192,Private room,4,1.0,1.0,3.0,45000,1.0,15.0,234,2.0,1,3.5,4.0,3.0,4.0,3.5,4.0,4.0,False,10,0.07
5024,39830242.0,within an hour,1.0,1.0,False,True,True,1,Lo Barnechea,-33.35484,-70.24916,Entire home/apt,5,1.0,1.0,6.0,219509,2.0,30.0,136,4.0,2,4.75,5.0,4.5,4.5,4.75,5.0,4.75,True,1,0.3
