VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
4516,37428094,within an hour,1,1,False,True,True,5,Lo Barnechea,-33.35036,-70.31273,Shared room,2,5,1,1,87143,1,30,271,2,0,4.5,5,5,5,5,5,4.5,True,4,0.06
4597,37568397,Unknown,0,0,False,True,False,0,Ñuñoa,-33.45336,-70.62265,Shared room,1,0,1,1,25000,1,90,90,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4627,37636204,a few days or more,0,1,False,True,False,2,Ñuñoa,-33.45321,-70.6244,Shared room,1,2,1,1,15000,1,30,365,1,1,1,1,1,1,1,1,1,True,2,0.15
4637,38044902,within a few hours,1,0.83,True,True,False,2,San Miguel,-33.48479,-70.65543,Shared room,2,2,1,2,30000,1,30,365,1,0,5,5,5,5,5,5,5,False,7,0.03
4669,37772923,within a day,1,0.67,False,True,False,1,Santiago,-33.45817,-70.63086,Shared room,1,1,1,1,15000,2,14,178,2,0,5,5,5,5,5,5,5,False,1,0.06
4674,37781219,a few days or more,0,1,False,True,False,2,Ñuñoa,-33.4512,-70.62419,Shared room,1,2,1,1,20000,1,30,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,2,0
4686,38138085,a few days or more,0,0,False,True,False,1,Santiago,-33.43403,-70.66504,Shared room,1,1,1,1,10000,1,2,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4709,38206630,a few days or more,0,0,False,True,True,0,Santiago,-33.45255,-70.64346,Shared room,1,0,1,1,9000,2,5,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
4719,38578673,a few days or more,0,0,False,True,False,0,Estación Central,-33.45652,-70.70236,Shared room,1,0,1,1,18000,1,7,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4721,37917283,within an hour,0.9,0.9,False,True,False,1,Santiago,-33.43566,-70.65768,Shared room,1,1,1,1,8429,3,6,351,14,13,5,4.93,4.93,5,5,5,4.93,False,1,0.41
4768,39108705,within an hour,1,1,False,True,False,0,Santiago,-33.43947,-70.64192,Shared room,4,0,1,2,86293,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4787,38694385,a few days or more,0,0,False,True,False,2,Providencia,-33.43563,-70.62503,Shared room,6,2,1,6,20252,1,30,180,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,2,0
4819,38795788,a few days or more,0.22,1,False,True,False,0,Lo Prado,-33.43887,-70.72682,Shared room,1,0,1,1,9000,1,30,362,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4837,38479311,a few days or more,0,0,False,True,False,0,Santiago,-33.45021,-70.67008,Shared room,1,0,1,1,18500,1,5,180,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4890,39365079,Unknown,0,0,False,True,False,0,Vitacura,-33.38346,-70.53705,Shared room,1,0,1,1,50000,1,3,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4898,39992476,a few days or more,0,0,False,True,True,0,Santiago,-33.46395,-70.63265,Shared room,1,0,1,0,9500,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
