VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1024,11217337,within an hour,0.9,0.86,False,True,True,6,Santiago,-33.43375,-70.647,Entire home/apt,2,6,1,1,32214,3,30,351,194,4,4.64,4.87,4.49,4.91,4.84,4.82,4.72,False,6,2.54
1025,12542393,within a day,1,0.67,False,True,True,6,Lo Barnechea,-33.33416,-70.28992,Entire home/apt,12,6,4,8,572350,2,30,179,3,0,3.67,4,3.67,4.33,4.33,4.67,3.67,False,5,0.05
1028,11834775,Unknown,0,0,False,True,False,1,Santiago,-33.44906,-70.64827,Entire home/apt,4,1,2,3,35000,2,30,233,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1030,12566689,Unknown,0,1,False,True,False,1,Santiago,-33.45128,-70.6538,Entire home/apt,3,1,1,2,29000,2,32,201,140,0,4.86,4.94,4.71,4.97,4.94,4.82,4.88,True,1,2.02
1033,11218407,Unknown,0,0,False,True,True,2,Providencia,-33.4351,-70.628,Entire home/apt,1,2,1,1,17500,7,60,0,33,1,5,4.97,4.88,5,5,4.94,4.88,False,1,0.48
1037,11873285,within a few hours,1,0.5,False,True,True,1,Estación Central,-33.45522,-70.68966,Entire home/apt,3,1,1,1,41429,2,30,364,19,1,4.53,4.95,4.74,4.95,4.95,4.84,4.74,False,1,0.3
1038,11906214,within an hour,0.97,1,False,True,True,26,Las Condes,-33.41777,-70.60167,Entire home/apt,4,26,1,1,53280,1,30,310,107,26,4.65,4.78,4.55,4.86,4.81,4.93,4.54,True,25,1.41
1040,11924696,within a few hours,1,0.6,False,True,True,1,Providencia,-33.42978,-70.61235,Entire home/apt,2,1,1,0,41385,4,30,328,83,5,4.78,4.8,4.78,4.93,4.93,4.87,4.71,False,1,1.1
1041,12582315,within an hour,1,1,False,True,True,36,Providencia,-33.42871,-70.61855,Entire home/apt,3,36,1,1,40000,2,30,318,80,15,4.46,4.75,4.49,4.72,4.58,4.87,4.53,True,12,1.09
1042,11925124,within a few hours,0.8,0.77,False,True,True,8,Santiago,-33.45118,-70.64838,Entire home/apt,2,8,1,1,44027,2,30,365,31,1,4.71,4.81,4.55,4.9,4.94,4.8,4.63,False,8,0.42
