id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,Private room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
2574699,a few days or more,0.00,0.00,False,0,True,True,Barra da Tijuca,-23.00868,-43.30012,Entire home/apt,4,2,2,2,"$3,608.00",2,30,365,0,0,,,,,,,,False,1,
31317263,within an hour,1.00,0.97,True,2,True,True,Recreio dos Bandeirantes,-23.02633,-43.52186,Entire home/apt,4,2.5,2,2,$500.00,2,15,336,16,5,4.88,5,4.81,4.88,5,4.88,4.88,False,2,0.4
6950530,unknown,0.00,0.00,False,1,True,False,Urca,-22.94767,-43.16159,Private room,2,1,1,1,$773.00,5,1125,363,1,0,5,5,5,5,5,5,5,False,1,0.01
6.35E+17,unknown,0.00,0.00,False,0,True,True,Anil,-22.961683,-43.343987,Shared room,7,1,1,7,$260.00,4,4,30,0,0,,,,,,,,True,1,
22352363,within a day,0.57,1.00,False,5,True,False,Cacuia,-22.82164,-43.18844,Private room,2,1,1,1,$180.00,1,60,111,21,0,5,5,5,5,5,5,4.9,True,5,0.39
13861172,a few days or more,0.00,0.00,False,1,True,True,Freguesia (Jacarepaguá),-22.94256,-43.34456,Private room,3,1,1,2,$300.00,5,20,89,7,0,5,4.57,4.29,5,5,4.71,4.43,False,1,0.1
22176598,within an hour,1.00,0.64,True,1,True,True,Jacarepaguá,-22.97077,-43.42189,Entire home/apt,4,2,2,2,$224.00,7,1125,43,35,8,4.97,5,5,5,5,5,5,False,1,0.65
29248203,within a day,1.00,1.00,False,5,True,False,Recreio dos Bandeirantes,-23.00981,-43.46905,Private room,4,4.5,1,4,$377.00,1,30,355,1,1,5,5,5,5,5,5,5,False,4,0.15
54182008,within a few hours,0.86,1.00,False,0,True,True,Paquetá,-22.76556,-43.10881,Entire home/apt,4,1,1,3,$350.00,2,365,126,0,0,,,,,,,,False,3,
13980429,unknown,0.00,0.00,False,1,True,False,Jacarepaguá,-22.95291,-43.3749,Private room,3,2,1,2,$773.00,3,30,362,0,0,,,,,,,,True,1,
21421317,unknown,0.00,0.00,False,1,True,False,Barra da Tijuca,-23.00072,-43.39261,Private room,1,3,1,1,$250.00,6,15,365,0,0,,,,,,,,False,1,
53154376,within an hour,1.00,0.33,False,1,True,True,Santa Teresa,-22.92196,-43.19311,Private room,2,1,1,1,$155.00,1,3,365,0,0,,,,,,,,False,1,
26690509,a few days or more,0.00,0.00,False,3,True,False,Riachuelo,-22.899,-43.25409,Private room,1,2,1,1,$50.00,10,10,365,0,0,,,,,,,,False,2,
2353745,within a day,1.00,0.00,False,1,True,True,Humaitá,-22.95595,-43.19946,Private room,2,1,1,1,$126.00,2,60,70,9,0,4.89,5,5,5,5,5,5,False,1,0.09
10731488,unknown,0.00,0.00,False,1,True,False,Barra da Tijuca,-22.98722,-43.35068,Entire home/apt,5,2,1,2,"$2,065.00",1,5,364,0,0,,,,,,,,False,1,
12999382,unknown,0.00,0.00,False,1,True,False,Flamengo,-22.93856,-43.17289,Entire home/apt,5,3,2,3,"$1,050.00",10,30,358,0,0,,,,,,,,False,1,
13972724,within an hour,1.00,1.00,False,0,True,True,Barra da Tijuca,-23.00921,-43.35697,Entire home/apt,4,1,1,1,$607.00,2,20,322,0,0,,,,,,,,True,1,
39389734,within a day,1.00,0.00,False,1,True,True,Urca,-22.94522,-43.16343,Entire home/apt,4,1,1,2,$954.00,4,90,317,0,0,,,,,,,,False,1,
38875379,unknown,0.00,1.00,False,1,True,True,Copacabana,-22.98455,-43.18903,Entire home/apt,3,1,1,1,$300.00,5,10,10,2,0,5,5,5,5,5,5,5,False,1,0.07
48230601,within a day,0.80,0.97,False,1,True,True,Ipanema,-22.9796,-43.20139,Shared room,2,1,1,2,$120.00,3,1125,273,7,7,4.57,4.71,4,4.71,4.71,4.86,4.43,True,4,0.83
13392732,unknown,0.00,0.00,False,1,True,True,Leme,-22.9631,-43.16666,Entire home/apt,6,1.5,3,3,$400.00,3,1125,171,7,0,4.86,5,4.86,5,5,5,4.86,False,1,0.1
16349307,within an hour,1.00,0.79,True,5,True,True,Centro,-22.91607,-43.17711,Private room,3,1.5,1,2,$300.00,2,1124,336,11,0,5,4.91,5,5,5,4.82,4.64,False,5,0.17
5.87E+17,within a few hours,1.00,1.00,False,1,True,True,Urca,-22.94942,-43.16411,Entire home/apt,6,2,3,3,"$1,450.00",1,365,89,0,0,,,,,,,,False,1,
1297489,unknown,0.00,0.00,False,3,True,True,Humaitá,-22.95381,-43.1984,Private room,2,1,1,1,$80.00,4,365,171,15,0,4.73,4.8,4.67,5,4.93,4.73,4.67,False,2,0.14
9967631,unknown,0.00,0.00,False,3,True,False,Flamengo,-22.94031,-43.17537,Entire home/apt,5,2,2,4,"$2,000.00",1,1125,365,0,0,,,,,,,,False,2,
20861579,within a day,0.50,1.00,False,2,True,True,Jacarepaguá,-22.96533,-43.3979,Private room,6,1,1,2,"$2,500.00",1,5,365,2,0,0,,,,,,,True,2,0.04
29881334,within an hour,1.00,1.00,False,1,True,True,Botafogo,-22.95341,-43.19113,Private room,1,1,1,1,$75.00,1,1125,348,3,1,5,5,5,5,5,5,5,True,1,0.07
38746428,,,,,,,,Botafogo,-22.95358,-43.18333,Entire home/apt,3,2,1,2,$211.00,1,1125,15,26,11,4.73,4.85,4.73,4.62,4.77,4.85,4.54,True,112,0.81
15289306,within a day,1.00,0.83,False,3,True,True,Tijuca,-22.92049,-43.22067,Private room,4,1,1,3,"$1,300.00",4,20,363,1,0,5,5,5,5,5,5,5,False,3,0.04
2686100,within a few hours,1.00,0.43,False,2,True,True,Barra da Tijuca,-22.99306,-43.34953,Entire home/apt,6,3.5,3,4,$557.00,2,1125,294,4,3,5,5,4.75,5,5,5,4.75,False,1,0.07
37960632,a few days or more,0.00,0.00,False,0,True,False,Sampaio,-22.89858,-43.26128,Entire home/apt,2,1,,2,$120.00,2,31,365,0,0,,,,,,,,False,1,
38932994,a few days or more,0.00,0.00,False,2,True,True,Méier,-22.89807,-43.27846,Entire home/apt,6,4,3,3,$250.00,90,1125,179,0,0,,,,,,,,False,1,
5467331,within a day,0.80,0.86,True,3,True,True,Barra da Tijuca,-22.9967,-43.37751,Entire home/apt,6,3,3,3,$200.00,1,30,80,54,1,4.76,4.78,4.83,4.8,4.8,4.69,4.61,False,3,0.61
5.60E+17,within an hour,0.90,0.70,False,0,True,True,Itanhangá,-22.98875,-43.32146,Entire home/apt,4,1,1,1,$195.00,2,365,361,1,1,1,1,1,1,1,1,1,False,2,0.23
32572056,within a few hours,0.86,0.11,False,64,True,True,Barra da Tijuca,-23.00446,-43.41326,Entire home/apt,14,7,5,7,"$5,000.00",2,1125,179,0,0,,,,,,,,False,54,
14025897,unknown,0.00,0.00,False,1,True,True,Barra da Tijuca,-22.9899,-43.35144,Entire home/apt,4,2,2,2,"$1,549.00",7,20,365,1,0,5,5,5,5,5,5,5,True,1,0.03
17211623,within a few hours,1.00,0.57,False,2,True,False,Jacarepaguá,-22.96969,-43.39173,Private room,3,1,1,2,$82.00,1,1125,72,7,3,4.57,5,4.86,5,4.43,5,4.71,False,3,0.16
41835356,a few days or more,0.00,0.00,False,2,True,True,Recreio dos Bandeirantes,-23.00703,-43.45862,Entire home/apt,4,2,1,2,$700.00,4,1125,89,0,0,,,,,,,,False,2,
45526984,a few days or more,0.00,0.00,False,0,True,True,Urca,-22.95286,-43.17266,Private room,4,,2,3,"$3,000.00",1,1125,364,0,0,,,,,,,,True,2,
14322383,within a few hours,1.00,0.89,False,3,True,True,Centro,-22.90796,-43.18386,Entire home/apt,5,2,2,5,$200.00,4,365,206,9,0,4.67,4.78,4.78,4.56,4.89,4.67,4.44,False,3,0.17
24393697,within an hour,1.00,1.00,True,2,True,True,Botafogo,-22.95515,-43.18,Entire home/apt,2,1,1,2,$110.00,2,1125,334,27,8,4.7,4.93,4.44,5,5,4.93,4.67,False,2,0.54
2473738,unknown,0.00,0.00,False,2,True,False,Santa Teresa,-22.93373,-43.19836,Private room,2,1,1,1,$300.00,1,90,365,0,0,,,,,,,,True,1,
46623702,within a few hours,0.75,0.83,False,0,True,False,Vila Isabel,-22.92293,-43.23799,Private room,2,3,1,2,$140.00,2,1125,365,0,0,,,,,,,,True,4,
45540599,within a few hours,0.75,0.83,False,0,True,False,Vila Isabel,-22.92238,-43.23973,Private room,2,3,1,2,$140.00,1,1125,365,1,0,4,5,5,5,5,4,5,True,4,0.05
5.89E+17,within a day,0.67,0.14,False,6,True,True,Barra da Tijuca,-23.00944,-43.34227,Private room,5,2,2,4,$195.00,3,365,356,0,0,,,,,,,,False,2,
45505118,within an hour,1.00,1.00,True,0,True,True,Botafogo,-22.95287,-43.18128,Entire home/apt,4,1,1,4,$177.00,3,1125,156,6,6,4.83,5,4.67,5,5,5,4.83,True,3,0.57
54061178,within an hour,0.99,0.99,False,75,True,True,Botafogo,-22.94656,-43.19003,Entire home/apt,4,1,1,2,$276.00,1,365,336,9,9,5,5,5,5,4.78,4.89,4.89,True,47,1.65
2947980,unknown,0.00,0.00,False,1,True,False,Botafogo,-22.95604,-43.18504,Entire home/apt,4,2,2,3,$900.00,2,30,365,0,0,,,,,,,,False,1,
53168748,a few days or more,0.00,0.00,False,0,True,True,Leblon,-22.98003,-43.22303,Entire home/apt,3,2,2,2,$970.00,15,1125,271,0,0,,,,,,,,False,13,
31990347,a few days or more,0.33,0.22,False,1,True,True,Barra da Tijuca,-23.0088,-43.35499,Entire home/apt,4,1,1,2,$450.00,2,1125,347,3,2,4.67,5,5,5,5,5,5,False,1,0.09
26744870,a few days or more,0.00,0.00,False,3,True,False,Copacabana,-22.95988,-43.17432,Private room,2,1,1,1,"$51,627.00",4,1125,364,1,0,0,,,,,,,False,2,0.02
14521322,within a few hours,1.00,0.95,False,3,True,True,Centro,-22.90787,-43.17806,Entire home/apt,4,1,1,2,$80.00,2,1125,322,77,30,4.71,4.8,4.68,4.87,4.73,4.72,4.64,False,3,1.26
45208659,within a few hours,0.90,1.00,False,20,True,True,Camorim,-22.97426,-43.41525,Entire home/apt,2,1,1,1,$235.00,8,1000,365,4,1,5,5,5,5,5,5,5,True,20,0.19
19681043,within an hour,0.97,0.79,True,245,True,True,Leme,-22.96471,-43.17265,Entire home/apt,10,3,3,5,$938.00,2,1125,180,0,0,,,,,,,,False,184,
