,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
16129,6.06e+17,within an hour,1.0,1.0,False,0.0,True,False,ItanhangÃ¡,-22.98772,-43.30729,Shared room,1,1.0,1.0,1.0,120,1,6,362,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.0
16225,22656539.0,within a day,0.8,0.83,False,0.0,True,True,Ipanema,-22.9844,-43.213,Shared room,1,1.0,1.0,4.0,214,1,15,365,9,4,4.44,4.44,4.78,5.0,4.67,5.0,4.44,False,1,0.17
16295,31150827.0,unknown,0.0,0.0,False,7.0,True,False,Flamengo,-22.9371,-43.17657,Shared room,1,2.0,1.0,9.0,200,3,365,365,2,0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,True,7,0.05
16474,5.67e+17,within an hour,1.0,1.0,False,2.0,True,True,Penha,-22.83561,-43.28093,Shared room,1,1.0,1.0,1.0,70,1,7,363,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.0
16498,2426124.0,unknown,0.0,0.0,False,1.0,True,False,Barra da Tijuca,-23.00952,-43.29822,Shared room,2,1.0,1.0,2.0,700,4,10,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
16503,2994379.0,unknown,0.0,1.0,False,1.0,True,False,Alto da Boa Vista,-22.9653,-43.2767,Shared room,3,1.0,1.0,2.0,150,2,20,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
16547,14138086.0,unknown,0.0,1.0,False,6.0,True,True,MaracanÃ£,-22.91324,-43.23134,Shared room,1,1.0,1.0,1.0,80,2,14,177,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,5,0.0
16549,44405233.0,within a day,0.5,0.0,False,2.0,True,True,Vila Isabel,-22.91382,-43.23569,Shared room,12,5.0,1.0,3.0,50,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
16556,14137830.0,unknown,0.0,1.0,False,6.0,True,True,MaracanÃ£,-22.91445,-43.23269,Shared room,2,1.0,1.0,1.0,100,2,14,177,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,5,0.0
16580,29302110.0,within a day,1.0,1.0,False,5.0,True,False,Recreio dos Bandeirantes,-23.00959,-43.46906,Shared room,6,7.0,1.0,6.0,145,1,30,356,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,0.05
16973,33660281.0,unknown,0.0,0.0,False,1.0,True,False,Ipanema,-22.98248,-43.19833,Shared room,1,0.0,1.0,2.0,1200,8,15,89,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
17051,31151208.0,unknown,0.0,0.0,False,7.0,True,False,Flamengo,-22.93725,-43.1762,Shared room,1,2.0,1.0,9.0,200,3,365,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,7,0.03
17054,31151680.0,unknown,0.0,0.0,False,7.0,True,False,Flamengo,-22.93893,-43.17623,Shared room,4,2.0,1.0,9.0,200,3,365,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,True,7,0.02
17295,6.01e+17,within a day,0.8,0.6,False,1.0,True,True,Copacabana,-22.97728,-43.19088,Shared room,1,2.0,1.0,12.0,60,1,365,80,4,4,5.0,5.0,4.75,5.0,5.0,5.0,5.0,False,2,1.9
17329,44448815.0,within an hour,0.88,0.98,False,0.0,True,True,Leme,-22.9608,-43.17052,Shared room,2,2.0,1.0,1.0,149,1,365,216,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,7,0.0
17334,40697863.0,unknown,0.0,0.0,False,1.0,True,False,Copacabana,-22.97304,-43.18998,Shared room,1,2.0,1.0,1.0,185,4,1125,89,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
17498,51747591.0,unknown,0.0,1.0,False,0.0,False,False,Ipanema,-22.98424,-43.19854,Shared room,5,1.0,1.0,5.0,150,1,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
17538,28515377.0,within an hour,1.0,0.96,True,2.0,True,False,Copacabana,-22.96439,-43.17961,Shared room,1,1.0,1.0,6.0,50,3,30,79,10,5,4.7,4.7,4.6,4.9,4.8,4.9,4.5,False,4,0.24
17681,14028129.0,unknown,0.0,0.0,False,1.0,True,True,Copacabana,-22.96488,-43.17608,Shared room,4,2.0,1.0,4.0,826,2,90,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
17746,51956549.0,within an hour,1.0,0.98,False,16.0,True,True,Santa Cruz,-22.91612,-43.66028,Shared room,10,1.0,1.0,10.0,85,2,1125,73,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
17783,14162953.0,within a day,0.8,1.0,False,7.0,True,False,BrÃ¡s de Pina,-22.82718,-43.28319,Shared room,1,1.0,1.0,2.0,70,1,90,90,4,1,4.75,4.75,4.5,5.0,5.0,3.75,4.5,True,6,0.09
17788,14091569.0,unknown,0.0,0.0,False,1.0,True,False,Freguesia (JacarepaguÃ¡),-22.93795,-43.34028,Shared room,3,1.0,1.0,3.0,300,4,30,363,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
17803,53667192.0,within an hour,1.0,1.0,False,0.0,True,False,InhoaÃ­ba,-22.91051,-43.58987,Shared room,2,1.0,1.0,2.0,80,1,365,363,1,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,True,2,0.16
17813,32444198.0,a few days or more,0.0,0.0,False,2.0,True,True,GrajaÃº,-22.92471,-43.26488,Shared room,4,1.0,1.0,4.0,100,1,1125,363,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,2,0.02
