,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
19413,6.03e+17,within an hour,1.0,1.0,False,2,True,True,Iztapalapa,19.35494,-99.08389,Private room,1,1.0,1.0,1.0,250.0,3,1125,344,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,1.11
19414,6.03e+17,within an hour,1.0,0.5,False,0,True,True,CuauhtÃ©moc,19.43362,-99.15088,Private room,3,1.0,1.0,2.0,700.0,1,365,359,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19415,6.03e+17,within a few hours,0.8,0.71,False,1,True,True,CuauhtÃ©moc,19.44192,-99.15603,Private room,1,1.0,1.0,1.0,400.0,1,365,365,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.92
19416,6.03e+17,within an hour,0.94,1.0,False,0,True,True,Miguel Hidalgo,19.42627,-99.17754,Private room,1,1.0,1.0,1.0,610.0,1,5,162,4,4,5.0,5.0,4.75,5.0,5.0,5.0,5.0,False,3,2.93
19418,6.04e+17,within an hour,1.0,1.0,False,0,True,True,Benito JuÃ¡rez,19.36118,-99.14387,Private room,1,1.0,1.0,1.0,300.0,1,365,365,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,1.45
19419,5.98e+17,within a day,0.6,0.69,False,1,True,True,Miguel Hidalgo,19.40264,-99.19119,Private room,2,1.0,1.0,1.0,320.0,1,30,11,5,5,4.8,5.0,4.8,5.0,5.0,4.8,5.0,False,1,2.34
19426,6.02e+17,within an hour,0.75,1.0,False,0,True,False,Miguel Hidalgo,19.44088,-99.16849,Private room,2,1.0,1.0,1.0,425.0,2,15,83,3,3,4.0,4.0,4.67,4.67,4.33,4.33,3.67,False,1,1.36
19427,6.02e+17,within an hour,1.0,1.0,False,5,True,True,Venustiano Carranza,19.44353,-99.08835,Private room,2,1.0,1.0,1.0,300.0,1,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,0.65
19428,6.02e+17,within an hour,1.0,1.0,False,5,True,True,Venustiano Carranza,19.44398,-99.08702,Private room,2,1.0,1.0,1.0,361.0,1,365,365,6,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,2.65
19432,5.98e+17,within an hour,0.9,1.0,False,0,True,True,Tlalpan,19.29154,-99.13976,Private room,1,1.5,1.0,1.0,215.0,5,1125,228,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,3,0.65
19435,6.04e+17,within an hour,1.0,1.0,True,57,True,True,CuauhtÃ©moc,19.43024,-99.17337,Private room,2,1.0,1.0,1.0,796.0,1,30,85,10,10,4.8,4.9,4.6,4.9,5.0,5.0,4.9,True,45,4.55
19436,5.98e+17,within an hour,1.0,1.0,False,0,True,False,CuauhtÃ©moc,19.41842,-99.16031,Private room,2,1.0,1.0,1.0,550.0,1,4,77,7,7,4.71,5.0,4.57,4.86,4.86,5.0,4.86,False,1,2.96
19443,6.04e+17,within an hour,1.0,1.0,False,4,True,True,Miguel Hidalgo,19.43138,-99.18417,Private room,2,1.0,1.0,1.0,1043.0,2,365,362,4,4,4.75,4.5,5.0,5.0,5.0,5.0,4.5,True,3,3.24
19444,5.99e+17,within an hour,0.9,1.0,False,0,True,True,Tlalpan,19.29171,-99.14016,Private room,1,1.5,1.0,1.0,250.0,5,1125,218,1,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,False,3,0.45
19448,6.04e+17,within an hour,1.0,1.0,True,57,True,True,CuauhtÃ©moc,19.42907,-99.1734,Private room,2,1.0,1.0,1.0,627.0,1,30,87,7,7,5.0,5.0,5.0,5.0,5.0,5.0,4.86,True,45,3.89
19449,6.04e+17,within an hour,1.0,1.0,True,57,True,True,Miguel Hidalgo,19.42848,-99.17532,Private room,2,1.0,1.0,1.0,604.0,1,30,85,20,20,4.9,5.0,4.95,5.0,4.9,5.0,4.95,True,45,8.82
19450,6.04e+17,within an hour,1.0,1.0,True,57,True,True,Miguel Hidalgo,19.43025,-99.17549,Private room,2,1.0,1.0,1.0,604.0,1,30,85,15,15,4.93,5.0,5.0,4.93,5.0,5.0,4.87,True,45,6.62
19452,6.04e+17,within an hour,1.0,1.0,True,57,True,True,Miguel Hidalgo,19.4304,-99.1754,Private room,2,1.0,1.0,1.0,629.0,1,30,78,17,17,4.76,5.0,5.0,5.0,4.88,4.88,4.82,True,45,7.61
19455,6.04e+17,within an hour,1.0,1.0,True,57,True,True,CuauhtÃ©moc,19.43016,-99.17325,Private room,2,1.0,1.0,1.0,670.0,1,30,81,8,8,4.63,4.75,5.0,5.0,5.0,4.63,4.63,True,45,4.21
19461,6.04e+17,within an hour,1.0,1.0,True,57,True,True,CuauhtÃ©moc,19.42838,-99.17351,Private room,2,1.0,1.0,1.0,721.0,1,30,87,9,9,5.0,4.89,5.0,4.89,5.0,5.0,5.0,True,45,4.09
19465,6.04e+17,within a day,0.9,0.88,False,0,True,True,CuauhtÃ©moc,19.45229,-99.14456,Private room,3,2.5,2.0,2.0,271.0,2,1125,322,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.49
19468,6.04e+17,within an hour,1.0,1.0,True,57,True,True,CuauhtÃ©moc,19.42914,-99.17354,Private room,2,1.0,1.0,1.0,634.0,1,30,83,4,4,4.75,5.0,5.0,5.0,5.0,4.75,5.0,True,45,1.88
19475,6.04e+17,within an hour,1.0,1.0,True,57,True,True,CuauhtÃ©moc,19.42978,-99.1733,Private room,2,1.0,1.0,1.0,673.0,1,30,88,9,9,5.0,5.0,4.89,5.0,5.0,5.0,5.0,True,45,4.03
19488,6.04e+17,within a few hours,0.82,0.96,False,0,True,True,CuauhtÃ©moc,19.43022,-99.13975,Private room,2,1.0,1.0,1.0,400.0,1,1125,335,10,10,4.8,5.0,5.0,4.6,4.4,4.9,4.9,True,1,4.48
