id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
47944394,within an hour,1,0.98,f,12,t,t,Iztacalco,19.407475,-99.075958,Entire home/apt,5,1,2,2,$940.00,1,365,343,6,6,4.33,4,4.33,4.17,4,4.17,4.17,t,10,0.66
47945080,within an hour,0.96,0.99,f,6,t,t,Cuauhtémoc,19.41318,-99.16533,Private room,1,2,1,2,$270.00,4,90,76,9,6,4,4.44,4,4.56,4.56,4.78,4.22,t,6,0.65
47956194,within an hour,1,1,t,1,t,t,Gustavo A. Madero,19.48679,-99.11838,Entire home/apt,3,1,2,2,$400.00,1,1125,126,30,28,4.83,4.97,4.77,4.97,4.9,4.83,4.87,t,1,2.36
48094268,within an hour,0.98,0.94,f,49,t,t,Miguel Hidalgo,19.44126,-99.18206,Entire home/apt,4,2,2,2,"$4,158.00",1,1125,86,7,7,4.86,4.86,4.71,4.57,4.86,4.71,4.43,f,44,0.61
48186709,within an hour,1,0.98,t,0,t,t,Cuauhtémoc,19.41637,-99.16522,Entire home/apt,2,1,1,1,"$1,414.00",3,60,160,63,50,4.87,4.97,4.94,4.98,4.97,4.81,4.87,f,5,4
47962961,N/A,N/A,1,f,1,t,t,Cuauhtémoc,19.43366,-99.14419,Entire home/apt,3,1,,2,"$2,000.00",1,1125,140,6,2,4.83,5,4.5,5,5,5,4.83,t,1,0.37
47963343,within an hour,1,0.91,t,65,t,t,Cuauhtémoc,19.46159,-99.14672,Private room,4,3,1,4,$399.00,7,365,365,4,2,5,4.75,5,4.75,5,5,5,f,72,0.3
48187626,within an hour,0.99,1,f,30,t,t,Cuauhtémoc,19.42359,-99.16884,Entire home/apt,2,1,1,,$830.00,1,1125,358,120,93,4.68,4.83,4.71,4.95,4.68,4.97,4.68,t,30,7.39
48188681,within an hour,1,1,t,25,t,t,Cuauhtémoc,19.43576,-99.15112,Entire home/apt,3,1,1,1,"$1,788.00",2,365,241,67,58,4.96,4.93,4.94,4.85,4.94,4.96,4.88,f,24,4.27
48190009,within an hour,1,1,t,25,t,t,Cuauhtémoc,19.418,-99.16082,Entire home/apt,4,2.5,2,3,"$2,827.00",2,365,347,38,26,4.84,4.92,4.95,4.87,4.89,5,4.84,f,24,2.38
47964011,within an hour,1,1,f,6,t,t,Cuauhtémoc,19.40572,-99.15708,Private room,1,1,1,1,$440.00,7,1125,318,2,2,3.5,3.5,3,5,4.5,3.5,3.5,t,3,0.18
47965211,within a day,1,0.83,t,1,t,t,Venustiano Carranza,19.44711,-99.10481,Private room,1,1,1,1,$410.00,1,1125,90,9,2,5,5,5,5,5,4.56,4.78,f,1,0.54
48192165,N/A,N/A,N/A,f,4,t,t,Miguel Hidalgo,19.45387,-99.19676,Entire home/apt,2,1,1,1,$794.00,2,60,255,38,31,4.61,4.74,4.53,4.76,4.89,4.55,4.5,t,3,2.37
48095270,N/A,N/A,0.75,t,0,t,f,Benito Juárez,19.39133,-99.177,Entire home/apt,3,2,2,2,"$1,500.00",4,1125,137,3,3,5,5,5,5,5,5,5,f,1,0.34
47967558,within an hour,1,1,t,3,t,t,Cuauhtémoc,19.411,-99.17487,Entire home/apt,4,1,2,2,"$1,299.00",3,365,252,48,40,4.67,4.75,4.88,4.71,4.83,4.94,4.67,f,3,2.91
