,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1894,42100700.0,within a day,0.66,0.44,False,71.0,True,True,JacarepaguÃ¡,-22.97187,-43.39767,Entire home/apt,6,2.0,2.0,5.0,550,1,30,353,3,3,4.33,3.67,4.0,4.33,3.67,4.33,4.33,False,73,0.4
1896,53782119.0,within a day,0.66,0.44,False,71.0,True,True,Camorim,-22.97641,-43.41393,Entire home/apt,5,1.0,1.0,4.0,750,1,365,362,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,73,0.0
1898,47026299.0,within an hour,1.0,1.0,True,1.0,True,True,Catete,-22.93039,-43.17943,Entire home/apt,4,1.0,1.0,2.0,215,2,365,133,65,36,5.0,4.97,4.95,4.98,5.0,4.97,4.91,True,4,3.53
1900,16312220.0,within a few hours,1.0,0.79,False,8.0,True,True,GÃ¡vea,-22.97949,-43.23596,Entire home/apt,11,3.5,5.0,6.0,2013,4,1125,357,6,1,4.67,4.33,4.0,5.0,5.0,4.5,4.33,False,5,0.11
1903,53648725.0,within a few hours,1.0,1.0,False,0.0,True,True,Centro,-22.91522,-43.18853,Entire home/apt,3,1.0,1.0,1.0,430,2,365,363,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.98
1905,21666464.0,within an hour,1.0,1.0,False,1.0,True,True,Barra da Tijuca,-22.999,-43.42232,Entire home/apt,6,2.0,3.0,5.0,350,3,89,45,18,4,4.67,4.89,4.67,4.83,4.83,4.94,4.56,False,1,0.34
1906,14028243.0,unknown,0.0,0.0,False,1.0,True,True,MaracanÃ£,-22.91731,-43.23168,Entire home/apt,10,2.5,3.0,3.0,1000,15,30,358,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
1908,10727438.0,unknown,0.0,0.0,False,1.0,True,False,Camorim,-22.98005,-43.41509,Entire home/apt,5,2.0,3.0,3.0,200,30,120,178,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
1909,40155593.0,within an hour,1.0,1.0,True,2.0,True,True,Barra da Tijuca,-23.00921,-43.32675,Entire home/apt,3,1.0,1.0,2.0,350,30,1125,112,13,0,4.69,4.85,4.62,4.92,5.0,5.0,4.46,False,1,0.47
1911,14126420.0,within a day,0.5,0.38,False,1.0,True,False,Leblon,-22.98703,-43.23125,Entire home/apt,4,2.0,2.0,2.0,550,4,1125,358,6,3,5.0,5.0,5.0,4.83,5.0,5.0,4.67,False,1,0.15
1912,36847678.0,within an hour,1.0,1.0,False,1.0,True,False,Barra da Tijuca,-23.0097,-43.42823,Entire home/apt,4,1.0,2.0,3.0,313,1,1125,340,30,6,4.59,4.62,4.41,4.45,4.62,4.86,4.62,True,1,0.85
1913,41660030.0,within an hour,1.0,0.92,True,2.0,True,False,Centro,-22.91494,-43.18587,Entire home/apt,3,1.0,1.0,1.0,120,1,30,125,33,7,4.91,4.97,4.82,4.97,5.0,4.94,4.94,False,2,1.16
1914,22323792.0,within an hour,1.0,0.81,False,1.0,True,True,Flamengo,-22.93991,-43.17881,Entire home/apt,2,2.0,1.0,1.0,235,1,1125,52,35,7,4.82,4.88,4.74,4.97,4.97,4.97,4.94,False,1,0.65
1915,14058129.0,a few days or more,0.0,0.0,False,2.0,True,False,JacarepaguÃ¡,-22.97166,-43.38087,Entire home/apt,4,2.0,2.0,3.0,1187,25,180,358,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
1916,12226083.0,unknown,0.0,0.0,False,1.0,True,False,Recreio dos Bandeirantes,-23.02928,-43.47619,Entire home/apt,4,4.0,3.0,3.0,3335,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1917,48540485.0,within an hour,1.0,0.95,False,1.0,True,True,Laranjeiras,-22.93827,-43.18769,Entire home/apt,4,3.5,3.0,4.0,280,3,1125,176,4,4,5.0,5.0,5.0,5.0,5.0,4.75,5.0,False,2,0.47
1918,47180832.0,within a day,0.66,0.44,False,71.0,True,True,JacarepaguÃ¡,-22.9711,-43.39381,Entire home/apt,6,2.0,2.0,4.0,650,1,365,353,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,73,0.09
1919,38773348.0,within a day,1.0,0.0,False,0.0,True,False,Botafogo,-22.95293,-43.17663,Entire home/apt,4,1.5,1.0,3.0,240,3,1125,38,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.04
1920,21710221.0,within an hour,1.0,0.88,False,3.0,True,True,JacarepaguÃ¡,-22.96906,-43.38794,Entire home/apt,2,1.5,1.0,1.0,180,2,1125,72,56,14,4.42,4.47,4.26,4.83,4.57,4.91,4.53,True,3,1.01
1921,14220217.0,unknown,0.0,0.0,False,1.0,True,True,Tijuca,-22.9215,-43.22762,Entire home/apt,6,2.0,3.0,3.0,700,2,30,363,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1922,1524344.0,within a few hours,1.0,0.85,True,1.0,True,True,Barra da Tijuca,-23.00969,-43.42853,Entire home/apt,4,1.0,2.0,2.0,193,4,60,130,56,13,4.89,4.88,4.88,4.93,4.93,4.89,4.73,False,1,0.53
1923,38291666.0,within a few hours,1.0,0.75,False,0.0,True,False,Camorim,-22.98068,-43.4141,Entire home/apt,4,2.0,2.0,2.0,290,3,30,261,9,2,4.89,5.0,4.89,5.0,5.0,5.0,4.33,False,1,0.27
1924,5.91e+17,within an hour,1.0,1.0,False,1.0,True,True,Copacabana,-22.96256,-43.18058,Entire home/apt,5,3.0,2.0,2.0,590,2,1125,184,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.51
1925,53009365.0,within an hour,1.0,0.96,False,0.0,True,True,Copacabana,-22.96275,-43.18127,Entire home/apt,6,1.0,3.0,3.0,451,1,365,201,4,4,4.75,4.75,4.5,5.0,5.0,5.0,4.75,True,15,0.55
1926,33549099.0,within an hour,1.0,0.99,False,26.0,True,True,Botafogo,-22.95338,-43.19347,Entire home/apt,3,1.0,2.0,1.0,503,3,180,69,85,32,4.8,4.86,4.81,4.92,4.87,4.88,4.69,True,25,2.18
1927,43851003.0,within an hour,1.0,0.99,False,22.0,True,True,Ipanema,-22.98103,-43.19816,Entire home/apt,4,1.0,2.0,3.0,212,1,1125,148,16,7,4.13,4.31,4.25,4.38,4.44,4.75,4.6,True,20,0.83
1928,941735.0,unknown,0.0,0.0,False,1.0,True,False,Tijuca,-22.92025,-43.23194,Entire home/apt,5,1.0,2.0,2.0,2000,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1929,43109156.0,within an hour,1.0,0.94,True,10.0,True,True,Botafogo,-22.95911,-43.17838,Entire home/apt,2,1.0,2.0,1.0,135,13,89,167,14,6,4.93,5.0,4.64,5.0,5.0,4.93,4.57,True,5,0.55
1930,48286742.0,within an hour,1.0,0.96,False,19.0,True,True,Copacabana,-22.96603,-43.18543,Entire home/apt,4,2.0,2.0,3.0,279,1,365,174,28,26,4.82,4.86,4.89,4.82,4.75,4.93,4.82,True,11,1.75
1931,48156958.0,within an hour,0.9,0.92,True,1.0,True,False,Laranjeiras,-22.93168,-43.17973,Entire home/apt,4,1.5,2.0,3.0,250,2,7,94,15,14,5.0,4.87,4.93,5.0,5.0,5.0,5.0,False,1,1.17
1932,39085218.0,within an hour,1.0,1.0,False,1.0,True,False,Barra da Tijuca,-23.00624,-43.43059,Entire home/apt,4,1.0,2.0,2.0,313,3,180,295,48,22,4.98,4.96,4.9,4.98,4.98,4.79,4.85,True,1,1.69
1934,41144568.0,within an hour,1.0,1.0,False,1.0,True,True,Centro,-22.9121,-43.17604,Entire home/apt,5,2.0,2.0,5.0,280,3,30,164,6,4,5.0,4.67,5.0,5.0,4.67,4.83,4.83,True,1,0.29
