,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
49,13980429.0,unknown,0.0,0.0,False,1.0,True,False,JacarepaguÃ¡,-22.95291,-43.3749,Private room,3,2.0,1.0,2.0,773,3,30,362,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
50,21421317.0,unknown,0.0,0.0,False,1.0,True,False,Barra da Tijuca,-23.00072,-43.39261,Private room,1,3.0,1.0,1.0,250,6,15,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
51,53154376.0,within an hour,1.0,0.33,False,1.0,True,True,Santa Teresa,-22.92196,-43.19311,Private room,2,1.0,1.0,1.0,155,1,3,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
52,26690509.0,a few days or more,0.0,0.0,False,3.0,True,False,Riachuelo,-22.899,-43.25409,Private room,1,2.0,1.0,1.0,50,10,10,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
53,2353745.0,within a day,1.0,0.0,False,1.0,True,True,HumaitÃ¡,-22.95595,-43.19946,Private room,2,1.0,1.0,1.0,126,2,60,70,9,0,4.89,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.09
61,16349307.0,within an hour,1.0,0.79,True,5.0,True,True,Centro,-22.91607,-43.17711,Private room,3,1.5,1.0,2.0,300,2,1124,336,11,0,5.0,4.91,5.0,5.0,5.0,4.82,4.64,False,5,0.17
63,1297489.0,unknown,0.0,0.0,False,3.0,True,True,HumaitÃ¡,-22.95381,-43.1984,Private room,2,1.0,1.0,1.0,80,4,365,171,15,0,4.73,4.8,4.67,5.0,4.93,4.73,4.67,False,2,0.14
65,20861579.0,within a day,0.5,1.0,False,2.0,True,True,JacarepaguÃ¡,-22.96533,-43.3979,Private room,6,1.0,1.0,2.0,2500,1,5,365,2,0,0.0,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.04
66,29881334.0,within an hour,1.0,1.0,False,1.0,True,True,Botafogo,-22.95341,-43.19113,Private room,1,1.0,1.0,1.0,75,1,1125,348,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.07
68,15289306.0,within a day,1.0,0.83,False,3.0,True,True,Tijuca,-22.92049,-43.22067,Private room,4,1.0,1.0,3.0,1300,4,20,363,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,3,0.04
