VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1368,15418825,Unknown,0,0.5,False,True,True,1,Las Condes,-33.41801,-70.58337,Private room,1,1,1,1,24514,2,30,357,2,1,3,3,2.5,3,3,3,3,True,1,0.03
1370,14729768,within an hour,1,0.88,False,True,True,8,Santiago,-33.438,-70.64748,Private room,3,8,1,2,45000,2,30,334,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
1372,15423609,Unknown,0,0,False,True,False,1,Vitacura,-33.39377,-70.5657,Private room,2,1,1,1,179929,1,30,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1373,15437223,a few days or more,0.43,0.13,False,True,False,3,Santiago,-33.43438,-70.64349,Private room,1,3,1,1,15850,15,90,87,16,1,4.85,4.92,4.92,5,5,5,4.85,False,1,0.24
1375,14041635,Unknown,0,0,False,True,True,1,Ñuñoa,-33.45516,-70.5835,Private room,1,1,1,1,22000,7,30,89,1,0,5,5,5,5,5,5,5,False,1,0.02
1378,15451104,within an hour,1,0.6,False,True,False,3,La Reina,-33.43847,-70.57183,Private room,1,3,1,1,15000,5,365,70,2,1,5,5,5,5,5,5,5,False,4,0.03
1379,15463696,Unknown,0,0,False,True,True,1,Santiago,-33.44329,-70.64216,Private room,1,1,1,1,25000,2,5,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1380,14782805,within a few hours,1,0.9,True,True,True,1,Providencia,-33.4365,-70.62991,Private room,2,1,1,1,10971,3,30,333,50,16,4.94,4.98,4.79,4.98,4.94,4.98,4.9,False,1,0.71
1382,15467514,a few days or more,0.4,0,False,True,True,2,Providencia,-33.43795,-70.59534,Private room,3,2,1,3,23775,1,30,313,1,0,4,5,5,5,5,5,4,True,2,0.01
1384,14086082,a few days or more,0,0,False,True,False,1,Providencia,-33.43304,-70.58447,Private room,1,1,1,1,26416,1,30,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1390,14092415,within an hour,1,0.97,True,True,False,4,Las Condes,-33.41681,-70.57017,Private room,2,4,1,2,17000,2,90,84,61,18,4.84,4.89,4.79,4.88,4.92,4.92,4.87,False,4,0.88
1391,14105226,Unknown,0,0,False,True,True,1,Santiago,-33.44431,-70.63568,Private room,1,1,1,1,22013,1,30,365,1,0,0,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.02
1392,15494396,within a day,1,0,False,True,True,2,Las Condes,-33.4116,-70.60114,Private room,3,2,2,2,74846,30,30,108,35,2,4.91,4.82,4.83,4.88,4.88,4.84,4.75,False,2,0.52
1395,14106939,Unknown,0,0,False,True,False,1,La Reina,-33.44402,-70.55166,Private room,1,1,1,1,30000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1404,15868214,a few days or more,0,0,False,True,False,1,Las Condes,-33.42281,-70.57488,Private room,1,1,1,1,17611,7,30,363,1,0,1,1,1,1,1,1,1,True,1,0.02
1406,15535016,a few days or more,0,0,False,True,False,1,Ñuñoa,-33.45624,-70.57378,Private room,1,1,1,1,15850,1,30,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1408,14818028,a few days or more,0,0,False,True,False,1,Recoleta,-33.433,-70.64091,Private room,1,1,1,1,12000,1,30,365,1,0,1,1,1,1,1,1,1,True,1,0.03
1410,14819918,within a day,1,0.67,False,True,True,6,Las Condes,-33.42409,-70.58537,Private room,1,6,1,1,21500,28,30,325,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0
1412,14867811,within a day,1,0,False,True,False,1,Las Condes,-33.4151,-70.58816,Private room,1,1,1,1,39624,1,30,171,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1416,15600705,a few days or more,0,0,False,True,False,2,La Reina,-33.431,-70.55702,Private room,2,2,1,1,19841,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1418,15617390,a few days or more,0,0,False,True,False,1,Las Condes,-33.41545,-70.55521,Private room,1,1,1,1,7044304,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1419,15627795,Unknown,0,0,False,True,True,2,Providencia,-33.44104,-70.6325,Private room,1,2,1,1,50000,2,30,0,2,0,5,5,5,4,5,5,5,False,1,0.03
1420,15635086,within an hour,1,0.83,True,True,True,3,Las Condes,-33.40542,-70.5495,Private room,1,3,1,1,25536,2,30,0,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,3,0
1423,15916773,a few days or more,0.4,0,False,True,True,2,Vitacura,-33.40671,-70.60064,Private room,2,2,1,1,25000,7,180,294,11,1,4.91,4.91,4.91,5,5,4.91,4.91,False,1,0.31
1424,15924355,Unknown,0,0,False,True,False,1,La Reina,-33.43545,-70.55607,Private room,2,1,1,1,15967,8,9,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1425,15925495,a few days or more,0,0,False,True,False,1,San Miguel,-33.49782,-70.65471,Private room,3,1,1,2,35000,1,3,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1427,14883221,Unknown,0,0,False,True,False,1,Santiago,-33.43824,-70.64949,Private room,1,1,1,1,35222,1,30,180,15,0,4.64,4.5,4.07,4.93,4.92,4.43,4.71,True,1,0.22
1428,14883361,a few days or more,0,0,False,True,False,1,La Reina,-33.43782,-70.52589,Private room,2,1,1,1,25000,5,60,83,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1429,14884963,within an hour,1,1,True,True,True,1,Recoleta,-33.43264,-70.63926,Private room,1,1,1,0,14000,1,30,145,137,28,4.95,4.99,4.99,5,4.99,4.95,4.99,True,1,2.03
1432,14893263,within a day,1,0,False,True,True,2,Las Condes,-33.40842,-70.5428,Private room,2,2,1,1,25714,2,35,365,5,0,3.8,4.4,3.6,5,5,5,4,False,1,0.1
1433,14896755,Unknown,0,0,False,True,False,1,Las Condes,-33.41615,-70.58662,Private room,1,1,1,1,130006,30,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1435,15648447,a few days or more,0,0,False,True,False,1,Santiago,-33.45013,-70.64826,Private room,1,1,1,1,48430,1,30,365,6,0,4.5,4.83,4.33,4.83,4.83,4.83,4.83,True,1,0.1
1437,14899656,a few days or more,0,0,False,True,False,1,Las Condes,-33.38779,-70.51189,Private room,2,1,1,1,25000,3,30,175,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1441,15655125,Unknown,0,1,False,True,False,1,Providencia,-33.42993,-70.59765,Private room,1,1,1,1,100000,1,30,89,4,0,4.33,4.67,4.33,4.67,5,4.67,4.33,True,1,0.06
1442,15660157,within an hour,1,0.83,True,True,True,3,Las Condes,-33.40413,-70.54814,Private room,2,3,1,1,28177,2,30,365,20,16,4.95,5,5,5,5,5,4.89,False,3,0.32
1444,14934983,within an hour,1,0.5,False,True,True,1,Recoleta,-33.39291,-70.63818,Private room,2,1,1,1,22571,1,30,177,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1449,16478893,within a day,1,0.5,False,True,False,2,La Florida,-33.51582,-70.59788,Private room,1,2,1,1,10000,3,30,204,12,0,4.42,4.75,4.75,4.92,4.83,4.75,4.33,False,2,0.18
